participant,similarity,session1_nonrepeatHF,session1_nonrepeatLF,session1_repeatHF,session1_repeatLF,session2_nonrepeatHF,session2_nonrepeatLF,session2_repeatHF,session2_repeatLF
T293,different,541.7826087,647.3636364,567.875,608.75,536.0416667,617.6363636,564.7391304,578.6842105
T304,different,448.0434783,653.875,449.5416667,543.7,447.4583333,663.8181818,461.5833333,555.0454545
T31,different,447.9583333,501.05,426.3043478,528.1,401.5652174,490.2777778,424.2272727,461.8095238
T311,different,572.5454545,708.7894737,554.125,738.5217391,497.2916667,658.7368421,487.4583333,607.3333333
T316,different,597.4166667,604.9411765,533.5909091,625.7,512.625,612.2380952,511.4782609,602.0869565
T320,different,551.0869565,649.55,566.2173913,721.3636364,654.173913,703.7333333,564.5217391,662.55
T33,different,574.125,754.3888889,558.375,646.7272727,609.2083333,776.1,570.1666667,656.625
T43,different,460.1666667,533.4,478.5416667,577.8695652,559.5,668.6521739,567,554.4090909
T46,different,605.5416667,714.9473684,608.7083333,747.6956522,518.0416667,669.3529412,522.1304348,601.6842105
T50,different,562.4583333,676.3181818,552.4583333,626.9583333,536.3333333,653.7,524.6666667,592.5833333
T57,different,565,652.1666667,502.2916667,571.2857143,508.6666667,643.0526316,481.75,586.7272727
T63,different,619.8333333,659.6818182,599.0454545,593.0869565,466.5,525.6,453.5652174,488.15
T64,different,696.1666667,876.2631579,691,847.8636364,665.375,895.1904762,650.9166667,774.0869565
T66,different,472.9545455,590.1111111,494.9130435,542.1875,445.2173913,492.0625,417.0416667,510.0625
T69,different,475.7272727,587.8125,483.4166667,529.3636364,473.0454545,585.1538462,471.5833333,490.1764706
T7,different,625.9166667,728.9411765,618.5,683.0526316,529.9166667,645.952381,526.625,583.5
T71,different,468.5416667,559.4545455,454.3913043,510.5,499.4166667,640.9375,491.7272727,548
T78,different,550.5,633.2941176,536.75,650.2631579,525.4583333,672.9375,506.5,637.3181818
T87,different,453.8333333,594.6190476,455.5652174,540.1904762,466,557.0952381,468.25,507.3478261
T88,different,615.2083333,752.9375,595.3333333,674.3043478,603.9166667,710.2272727,591.6666667,649.5
T90,different,416.4583333,571.9473684,423.4166667,505.173913,439.0416667,563.9411765,434.5833333,501.5
T93,different,530.125,734.1333333,495.0833333,735.2272727,548.5416667,802.6923077,481.5,679.8947368
T98,different,501.6666667,668.2142857,505.7916667,633.2608696,513.5833333,636.7777778,477.6363636,561.8
T99,different,571.5416667,642.3,538.7272727,630.4782609,579.9583333,699.4210526,577.0869565,602.9545455
T1,same,448.8333333,575.3888889,434.8333333,518,469.375,595.9,464.6666667,505.2857143
T10,same,393.375,512.7647059,383.375,483.6315789,434.875,549.55,407.5416667,481
T102,same,438.9583333,616.3076923,421.8333333,536.7826087,448.0833333,584.952381,420.0416667,471.0952381
T11,same,439.9130435,542.7222222,462.25,536.4090909,527.4583333,577.7857143,497.0416667,587.9130435
T112,same,464.4,595.4375,453.7083333,525.2,487.5416667,585.7647059,534.375,564
T119,same,651.6956522,729.2608696,645.6666667,745.4090909,705.8695652,767.3913043,642.173913,693.4782609
T122,same,474.4166667,594.5789474,472.2380952,548.047619,540.047619,599.8888889,503.7916667,551.5652174
T127,same,499.7083333,664,498.0869565,584.0909091,517.875,627.3913043,474.7916667,592.0434783
T128,same,436.7916667,544.1578947,431.2608696,485.9545455,437.75,548.3809524,426.375,492.7391304
T131,same,534.0909091,606.85,517,610,551.0833333,600.7777778,519.3478261,611.3913043
T134,same,442.25,521.047619,457.0833333,504.9545455,460.0454545,563.8571429,462.65,500
T138,same,462.4347826,583.05,432.6666667,474.8636364,481.2916667,554.8,458.9565217,524.0909091
T139,same,500.4782609,623.8666667,450.7916667,593.6666667,484.9166667,637.4705882,485.9583333,584.5
T14,same,582.6666667,620.8666667,594.5217391,652.8421053,498.2608696,545.4736842,505.375,508.05
T152,same,537.9,566.1578947,507.7916667,581.625,510.25,610.1666667,499.9130435,571.1363636
T166,same,586.6666667,633.4444444,628.6956522,639.35,520,608.2857143,522,544.95
T170,same,494.5416667,620.1,487.25,576.8095238,489.7916667,603.7142857,439.5416667,543.5833333
