"participant_external","participant_outlier_fixed","participant_outlier_data","trial_external","trial_outlier_fixed","trial_outlier_data","stimuli_external","stimuli_outlier_fixed","stimuli_outlier_data","mean1_log","mean2_log","sd1_log","sd2_log","subject_n_log","trial1_avg_log","trial2_avg_log","trial1_min_log","trial2_min_log","trial1_max_log","trial2_max_log","mean_diff_log","sd_diff_log","d_av_log","d_av_log_low","d_av_log_high","d_z_log","d_z_log_low","d_z_log_high","t_log","df_log","p_log","mlm_diff_log","mlm_se_log","mlm_t_log","mlm_df_log","mlm_p_log","total_trial_log","mean1_no_log","mean2_no_log","sd1_no_log","sd2_no_log","subject_n_no_log","trial1_avg_no_log","trial2_avg_no_log","trial1_min_no_log","trial2_min_no_log","trial1_max_no_log","trial2_max_no_log","mean_diff_no_log","sd_diff_no_log","d_av_no_log","d_av_no_log_low","d_av_no_log_high","d_z_no_log","d_z_no_log_low","d_z_no_log_high","t_no_log","df_no_log","p_no_log","mlm_diff_no_log","mlm_se_no_log","mlm_t_no_log","mlm_df_no_log","mlm_p_no_log","total_trial_no_log","order"
"0","0","0","0","0","0","0","0","0","6.02768790216995","6.11213237080262","0.157113512776026","0.149570618319066","160","45.025","43.41875","40","31","46","46","0.0844444686326738","0.0691990804347714","-0.55069343386724","-0.716270272607378","-0.383603779495425","1.22031200562373","1.01431343485972","1.42403703999188","15.4358615752768","159","1.96744232054946e-33","0.0838811079331691","0.00382111200163758","21.9520149886266","13990","4.86948106771446e-105","14151","433.92266317516","468.636531607732","76.8414551294455","79.4092684968489","160","45.025","43.41875","40","31","46","46","34.7138684325718","40.9255000321671","-0.444335458126864","-0.606148380922796","-0.281246166280456","0.848220996818291","0.666430854441476","1.02801885947138","10.7292412364969","159","1.51536460701028e-20","34.3809130101547","2.40376711663864","14.3029300851041","13990","4.43185125025475e-46","14151","none"
"1","0","0","0","0","0","0","0","0","6.0262030988909","6.11084375049245","0.158528964571296","0.151005309282951","155","45.0387096774194","43.3806451612903","40","31","46","46","0.08464065160155","0.0701539690153177","-0.546890336553846","-0.714956066566691","-0.377270889992553","1.20649840329161","0.998186400384518","1.41246931759602","15.0207839861143","154","5.59044830110926e-32","0.0840779820445156","0.00390604393853543","21.525098889707","13549","4.43185661154881e-101","13705","433.536724441229","468.361823054441","77.6324163510914","80.2987574985614","155","45.0387096774194","43.3806451612903","40","31","46","46","34.8250986132114","41.5255171899252","-0.44101614347987","-0.605302080486232","-0.275420634860145","0.838643344378635","0.654478696929295","1.02076307304251","10.4410254360355","154","1.24585435421941e-19","34.4893813651394","2.46649193387602","13.9831721691221","13549","4.00026428776473e-44","13705","part_external"
"0","1","0","0","0","0","0","0","0","6.02768790216995","6.11213237080262","0.157113512776026","0.149570618319066","160","45.025","43.41875","40","31","46","46","0.0844444686326738","0.0691990804347714","-0.55069343386724","-0.716270272607378","-0.383603779495425","1.22031200562373","1.01431343485972","1.42403703999188","15.4358615752768","159","1.96744232054946e-33","0.0838811079331691","0.00382111200163758","21.9520149886266","13990","4.86948106771446e-105","14151","433.92266317516","468.636531607732","76.8414551294455","79.4092684968489","160","45.025","43.41875","40","31","46","46","34.7138684325718","40.9255000321671","-0.444335458126864","-0.606148380922796","-0.281246166280456","0.848220996818291","0.666430854441476","1.02801885947138","10.7292412364969","159","1.51536460701028e-20","34.3809130101547","2.40376711663864","14.3029300851041","13990","4.43185125025475e-46","14151","part_outlier_fixed"
"0","0","1","0","0","0","0","0","0","6.02623003283071","6.10913048280459","0.154555550289964","0.145527103417998","157","45.0828025477707","43.5923566878981","40","35","46","46","0.0829004499738819","0.0683352354410581","-0.552517441108474","-0.719734132785229","-0.383755073332252","1.21314354796344","1.00569178031934","1.41828126069053","15.2006450873163","156","1.35493342565212e-32","0.0825475566372675","0.00381274234892821","21.6504418821986","13764","3.03168465777987e-102","13922","432.864700856258","466.359114009751","75.4833767306956","75.2826957458413","157","45.0828025477707","43.5923566878981","40","35","46","46","33.4944131534934","39.5141995661594","-0.444322951487723","-0.607668610806554","-0.279676438720464","0.847655109333875","0.664157219643333","1.02912322040549","10.6210880773879","156","3.60412956818265e-20","33.3195266063241","2.36952504296776","14.0616900020573","13764","1.32905585660795e-44","13922","part_outlier_data"
"0","0","0","1","0","0","0","0","0","6.02832593417554","6.11170328966887","0.156804938856032","0.149836734518664","160","43.7375","42.04375","39","31","46","46","0.0833773554933281","0.0699927162552909","-0.543809682328769","-0.709120274194857","-0.377000538124985","1.19122903002104","0.987311281643636","1.39288551677727","15.0679877991183","159","1.93809481784095e-32","0.0827230364815994","0.00388576033761614","21.2887644358295","13564","5.95318650177861e-99","13725","434.256297162702","468.381954127683","76.8240947258968","79.6258685948576","160","43.7375","42.04375","39","31","46","46","34.1256569649814","41.7511116373716","-0.436250111417627","-0.59780818722067","-0.273435011484924","0.817359242105434","0.637310641306569","0.995453355069053","10.3388674865687","159","1.74378278277337e-19","33.750991359616","2.4502726804565","13.7743817775122","13564","7.06294415230311e-43","13725","prop_sample"
"0","0","0","0","1","0","0","0","0","6.0303348576632","6.11335158657429","0.154544294013755","0.148425951620967","160","44.73125","43.3375","36","31","46","46","0.0830167289110945","0.068559784393052","-0.548019022377422","-0.713492057723636","-0.381038695529936","1.21086624828283","1.00554659106825","1.41391620899193","15.3163811455867","159","4.13095324604817e-33","0.08237224070563","0.00374913847048106","21.97097849391","13930","3.30944375252754e-105","14091","434.637614528887","468.939133144295","76.1524441627","79.1413941466768","160","44.73125","43.3375","36","31","46","46","34.3015186154081","40.9348574041273","-0.441762776795722","-0.603494122235231","-0.278761199919878","0.837953782928033","0.656748126597715","1.01717944670491","10.5993701120276","159","3.42120766685645e-20","33.9506025606062","2.40907368513479","14.0928037071256","13930","8.53910771511972e-45","14091","trial_outlier_fixed"
"0","0","0","0","0","1","0","0","0","6.00646494362282","6.09301942231887","0.138749334732062","0.130567149571649","160","43.825","42.325","28","24","46","46","0.0865544786960462","0.0576612198942591","-0.642771488123523","-0.812197428029511","-0.471655990048754","1.5010864989463","1.27368470410516","1.7261539437881","18.987409206393","159","9.98367262817751e-43","0.0863479749186363","0.00324155624218382","26.6378148233097","13623","1.92159463696754e-152","13784","418.207246185198","453.363251949647","59.6676848857544","59.5952586206425","160","43.825","42.325","28","24","46","46","35.1560057644492","25.6202273511972","-0.589554554513634","-0.756691309749998","-0.420827201754353","1.37219725970958","1.15489814053083","1.58717846139831","17.3570749588955","159","1.55914173545322e-38","35.073563648432","1.44338880300805","24.2994566504452","13623","1.01902221608972e-127","13784","trial_outlier_data"
"0","0","0","0","0","0","1","0","0","6.02730864676306","6.11221285212107","0.157443201829082","0.149714517462382","160","43.63125","42.20625","39","31","46","46","0.084904205358017","0.0696476146499245","-0.552837842095387","-0.718498245998316","-0.38566020907884","1.21905403056197","1.01314604669782","1.4226889814077","15.4199493095373","159","2.1715797041943e-33","0.0843258824324596","0.00388564452849809","21.7019034587433","13573","1.08609077281484e-102","13734","433.91484723959","468.72292333833","77.2480280194284","79.9318086761907","160","43.63125","42.20625","39","31","46","46","34.8080760987408","41.4983726582935","-0.442907650631385","-0.604675242528027","-0.279867093607303","0.838781712848306","0.657529111948896","1.01805331989793","10.6098426891919","159","3.20394364823799e-20","34.463302602329","2.45254309837214","14.0520680860629","13573","1.53472765509443e-44","13734","stimuli_external"
"0","0","0","0","0","0","0","1","0","6.02768790216995","6.11213237080262","0.157113512776026","0.149570618319066","160","45.025","43.41875","40","31","46","46","0.0844444686326738","0.0691990804347714","-0.55069343386724","-0.716270272607378","-0.383603779495425","1.22031200562373","1.01431343485972","1.42403703999188","15.4358615752768","159","1.96744232054946e-33","0.0838811079331691","0.00382111200163758","21.9520149886266","13990","4.86948106771446e-105","14151","433.92266317516","468.636531607732","76.8414551294455","79.4092684968489","160","45.025","43.41875","40","31","46","46","34.7138684325718","40.9255000321671","-0.444335458126864","-0.606148380922796","-0.281246166280456","0.848220996818291","0.666430854441476","1.02801885947138","10.7292412364969","159","1.51536460701028e-20","34.3809130101547","2.40376711663864","14.3029300851041","13990","4.43185125025475e-46","14151","stimuli_outlier_fixed"
"0","0","0","0","0","0","0","0","1","6.02768790216995","6.11213237080262","0.157113512776026","0.149570618319066","160","45.025","43.41875","40","31","46","46","0.0844444686326738","0.0691990804347714","-0.55069343386724","-0.716270272607378","-0.383603779495425","1.22031200562373","1.01431343485972","1.42403703999188","15.4358615752768","159","1.96744232054946e-33","0.0838811079331691","0.00382111200163758","21.9520149886266","13990","4.86948106771446e-105","14151","433.92266317516","468.636531607732","76.8414551294455","79.4092684968489","160","45.025","43.41875","40","31","46","46","34.7138684325718","40.9255000321671","-0.444335458126864","-0.606148380922796","-0.281246166280456","0.848220996818291","0.666430854441476","1.02801885947138","10.7292412364969","159","1.51536460701028e-20","34.3809130101547","2.40376711663864","14.3029300851041","13990","4.43185125025475e-46","14151","stimuli_outlier_data"
"1","1","0","0","0","0","0","0","0","6.02682662648388","6.11219139363612","0.15179725352424","0.14756569999353","155","45.0258064516129","43.4064516129032","40","31","46","46","0.0853647671522412","0.0686667470289244","-0.570309493203034","-0.739312614550024","-0.3997034084135","1.24317476574627","1.03217279104667","1.45182082039872","15.4774010162942","154","3.44835121022764e-33","0.0847566536072794","0.00386175653883832","21.9476947225616","13551","6.07199786599894e-105","13707","433.17274681733","468.479348551555","73.1187989038752","78.5271630526554","155","45.0258064516129","43.4064516129032","40","31","46","46","35.3066017342254","40.3968913114134","-0.465645128676041","-0.630741857199737","-0.299178936031126","0.873993037287257","0.687760694679301","1.05813808050908","10.8811255635676","154","8.18725657961346e-21","34.9390453393472","2.4522681602157","14.2476446524812","13551","9.91557841892975e-46","13707","|participant_outlier_fixed|participant_external"
