"exclusion","num_people","num_trials","order","row_number"
"stimuli_external",157,14010,2,61
"final",157,14010,3,61
"trial_external",160,14278,1,62
"stimuli_external",160,13849,2,62
"final",160,13849,3,62
"trial_outlier_fixed",160,14652,1,63
"stimuli_external",160,14212,2,63
"final",160,14212,3,63
"trial_outlier_data",160,14333,1,64
"stimuli_external",160,13903,2,64
"final",160,13903,3,64
"stimuli_outlier_fixed",160,14720,1,65
"stimuli_external",160,14278,2,65
"final",160,14278,3,65
"stimuli_outlier_data",160,14720,1,66
"stimuli_external",160,14278,2,66
"final",160,14278,3,66
"participant_external",155,14260,1,67
"stimuli_outlier_fixed",155,14260,2,67
"final",155,14260,3,67
"participant_outlier_fixed",160,14720,1,68
"stimuli_outlier_fixed",160,14720,2,68
"final",160,14720,3,68
"participant_outlier_data",157,14444,1,69
"stimuli_outlier_fixed",157,14444,2,69
"final",157,14444,3,69
"trial_external",160,14278,1,70
"stimuli_outlier_fixed",160,14278,2,70
"final",160,14278,3,70
"trial_outlier_fixed",160,14652,1,71
"stimuli_outlier_fixed",160,14652,2,71
"final",160,14652,3,71
"trial_outlier_data",160,14333,1,72
"stimuli_outlier_fixed",160,14333,2,72
"final",160,14333,3,72
"stimuli_external",160,14278,1,73
"stimuli_outlier_fixed",160,14278,2,73
"final",160,14278,3,73
"stimuli_outlier_data",160,14720,1,74
"stimuli_outlier_fixed",160,14720,2,74
"final",160,14720,3,74
"participant_external",155,14260,1,75
"stimuli_outlier_data",155,14260,2,75
"final",155,14260,3,75
"participant_outlier_fixed",160,14720,1,76
"stimuli_outlier_data",160,14720,2,76
"final",160,14720,3,76
"participant_outlier_data",157,14444,1,77
"stimuli_outlier_data",157,14444,2,77
"final",157,14444,3,77
"trial_external",160,14278,1,78
"stimuli_outlier_data",160,14278,2,78
"final",160,14278,3,78
"trial_outlier_fixed",160,14652,1,79
"stimuli_outlier_data",160,14652,2,79
"final",160,14652,3,79
"trial_outlier_data",160,14333,1,80
"stimuli_outlier_data",160,14333,2,80
"final",160,14333,3,80
"stimuli_external",160,14278,1,81
"stimuli_outlier_data",160,14278,2,81
"final",160,14278,3,81
"stimuli_outlier_fixed",160,14720,1,82
"stimuli_outlier_data",160,14720,2,82
"final",160,14720,3,82
"participant_outlier_data",157,14444,1,83
"participant_outlier_fixed",157,14444,2,83
"participant_external",152,13984,3,83
"final",152,13984,4,83
"trial_external",160,14278,1,84
"participant_outlier_fixed",160,14278,2,84
"participant_external",155,13831,3,84
"final",155,13831,4,84
"trial_outlier_fixed",160,14652,1,85
"participant_outlier_fixed",159,14573,2,85
"participant_external",154,14119,3,85
"final",154,14119,4,85
"trial_outlier_data",160,14333,1,86
"participant_outlier_fixed",155,13967,2,86
"participant_external",150,13514,3,86
"final",150,13514,4,86
"stimuli_external",160,14278,1,87
"participant_outlier_fixed",160,14278,2,87
"participant_external",155,13831,3,87
"final",155,13831,4,87
"stimuli_outlier_fixed",160,14720,1,88
"participant_outlier_fixed",160,14720,2,88
"participant_external",155,14260,3,88
"final",155,14260,4,88
"stimuli_outlier_data",160,14720,1,89
"participant_outlier_fixed",160,14720,2,89
"participant_external",155,14260,3,89
"final",155,14260,4,89
"participant_outlier_fixed",160,14720,1,90
"participant_outlier_data",157,14444,2,90
"participant_external",152,13984,3,90
"final",152,13984,4,90
"trial_external",160,14278,1,91
"participant_outlier_data",158,14101,2,91
"participant_external",153,13653,3,91
"final",153,13653,4,91
"trial_outlier_fixed",160,14652,1,92
"participant_outlier_data",157,14379,2,92
"participant_external",152,13919,3,92
"final",152,13919,4,92
"trial_outlier_data",160,14333,1,93
"participant_outlier_data",157,14087,2,93
"participant_external",152,13631,3,93
"final",152,13631,4,93
"stimuli_external",160,14278,1,94
"participant_outlier_data",156,13925,2,94
"participant_external",151,13481,3,94
"final",151,13481,4,94
"stimuli_outlier_fixed",160,14720,1,95
"participant_outlier_data",157,14444,2,95
"participant_external",152,13984,3,95
"final",152,13984,4,95
"stimuli_outlier_data",160,14720,1,96
"participant_outlier_data",157,14444,2,96
"participant_external",152,13984,3,96
"final",152,13984,4,96
"participant_outlier_fixed",160,14720,1,97
"trial_external",160,14278,2,97
"participant_external",155,13832,3,97
"final",155,13832,4,97
"participant_outlier_data",157,14444,1,98
"trial_external",157,14010,2,98
"participant_external",152,13562,3,98
"final",152,13562,4,98
"trial_outlier_fixed",160,14652,1,99
"trial_external",160,14212,2,99
"participant_external",155,13765,3,99
"final",155,13765,4,99
"trial_outlier_data",160,14333,1,100
"trial_external",160,13903,2,100
"participant_external",155,13467,3,100
"final",155,13467,4,100
"stimuli_external",160,14278,1,101
"trial_external",160,13849,2,101
"participant_external",155,13413,3,101
"final",155,13413,4,101
"stimuli_outlier_fixed",160,14720,1,102
"trial_external",160,14278,2,102
"participant_external",155,13834,3,102
"final",155,13834,4,102
"stimuli_outlier_data",160,14720,1,103
"trial_external",160,14278,2,103
"participant_external",155,13841,3,103
"final",155,13841,4,103
"participant_outlier_fixed",160,14720,1,104
"trial_outlier_fixed",160,14652,2,104
"participant_external",155,14193,3,104
"final",155,14193,4,104
"participant_outlier_data",157,14444,1,105
"trial_outlier_fixed",157,14379,2,105
"participant_external",152,13919,3,105
"final",152,13919,4,105
"trial_external",160,14278,1,106
"trial_outlier_fixed",160,14211,2,106
"participant_external",155,13765,3,106
"final",155,13765,4,106
"trial_outlier_data",160,14333,1,107
"trial_outlier_fixed",160,14265,2,107
"participant_external",155,13808,3,107
"final",155,13808,4,107
"stimuli_external",160,14278,1,108
"trial_outlier_fixed",160,14213,2,108
"participant_external",155,13770,3,108
"final",155,13770,4,108
"stimuli_outlier_fixed",160,14720,1,109
"trial_outlier_fixed",160,14652,2,109
"participant_external",155,14197,3,109
"final",155,14197,4,109
"stimuli_outlier_data",160,14720,1,110
"trial_outlier_fixed",160,14652,2,110
"participant_external",155,14195,3,110
"final",155,14195,4,110
"participant_outlier_fixed",160,14720,1,111
"trial_outlier_data",160,14333,2,111
"participant_external",155,13888,3,111
"final",155,13888,4,111
"participant_outlier_data",157,14444,1,112
"trial_outlier_data",157,14054,2,112
"participant_external",152,13598,3,112
"final",152,13598,4,112
"trial_external",160,14278,1,113
"trial_outlier_data",160,13896,2,113
"participant_external",155,13461,3,113
"final",155,13461,4,113
"trial_outlier_fixed",160,14652,1,114
"trial_outlier_data",160,14265,2,114
"participant_external",155,13838,3,114
"final",155,13838,4,114
"stimuli_external",160,14278,1,115
"trial_outlier_data",160,13902,2,115
"participant_external",155,13473,3,115
"final",155,13473,4,115
"stimuli_outlier_fixed",160,14720,1,116
"trial_outlier_data",160,14333,2,116
"participant_external",155,13906,3,116
"final",155,13906,4,116
"stimuli_outlier_data",160,14720,1,117
"trial_outlier_data",160,14333,2,117
"participant_external",155,13877,3,117
"final",155,13877,4,117
"participant_outlier_fixed",160,14720,1,118
"stimuli_external",160,14278,2,118
"participant_external",155,13831,3,118
"final",155,13831,4,118
"participant_outlier_data",157,14444,1,119
"stimuli_external",157,14010,2,119
"participant_external",152,13557,3,119
"final",152,13557,4,119
"trial_external",160,14278,1,120
"stimuli_external",160,13849,2,120
"participant_external",155,13418,3,120
"final",155,13418,4,120
"trial_outlier_fixed",160,14652,1,121
"stimuli_external",160,14212,2,121
"participant_external",155,13773,3,121
"final",155,13773,4,121
"trial_outlier_data",160,14333,1,122
"stimuli_external",160,13903,2,122
"participant_external",155,13461,3,122
"final",155,13461,4,122
"stimuli_outlier_fixed",160,14720,1,123
"stimuli_external",160,14278,2,123
"participant_external",155,13829,3,123
"final",155,13829,4,123
"stimuli_outlier_data",160,14720,1,124
"stimuli_external",160,14278,2,124
"participant_external",155,13826,3,124
"final",155,13826,4,124
"participant_outlier_fixed",160,14720,1,125
"stimuli_outlier_fixed",160,14720,2,125
"participant_external",155,14260,3,125
"final",155,14260,4,125
"participant_outlier_data",157,14444,1,126
"stimuli_outlier_fixed",157,14444,2,126
"participant_external",152,13984,3,126
"final",152,13984,4,126
"trial_external",160,14278,1,127
"stimuli_outlier_fixed",160,14278,2,127
"participant_external",155,13831,3,127
"final",155,13831,4,127
"trial_outlier_fixed",160,14652,1,128
"stimuli_outlier_fixed",160,14652,2,128
"participant_external",155,14194,3,128
"final",155,14194,4,128
"trial_outlier_data",160,14333,1,129
"stimuli_outlier_fixed",160,14333,2,129
"participant_external",155,13890,3,129
"final",155,13890,4,129
"stimuli_external",160,14278,1,130
"stimuli_outlier_fixed",160,14278,2,130
"participant_external",155,13833,3,130
"final",155,13833,4,130
"stimuli_outlier_data",160,14720,1,131
"stimuli_outlier_fixed",160,14720,2,131
"participant_external",155,14260,3,131
"final",155,14260,4,131
"participant_outlier_fixed",160,14720,1,132
"stimuli_outlier_data",160,14720,2,132
"participant_external",155,14260,3,132
"final",155,14260,4,132
"participant_outlier_data",157,14444,1,133
"stimuli_outlier_data",157,14444,2,133
"participant_external",152,13984,3,133
"final",152,13984,4,133
"trial_external",160,14278,1,134
"stimuli_outlier_data",160,14278,2,134
"participant_external",155,13828,3,134
"final",155,13828,4,134
"trial_outlier_fixed",160,14652,1,135
"stimuli_outlier_data",160,14652,2,135
"participant_external",155,14194,3,135
"final",155,14194,4,135
"trial_outlier_data",160,14333,1,136
"stimuli_outlier_data",160,14333,2,136
"participant_external",155,13893,3,136
"final",155,13893,4,136
"stimuli_external",160,14278,1,137
"stimuli_outlier_data",160,14278,2,137
"participant_external",155,13830,3,137
"final",155,13830,4,137
"stimuli_outlier_fixed",160,14720,1,138
"stimuli_outlier_data",160,14720,2,138
"participant_external",155,14260,3,138
"final",155,14260,4,138
"participant_outlier_data",157,14444,1,139
"participant_external",152,13984,2,139
"participant_outlier_fixed",152,13984,3,139
"final",152,13984,4,139
